reportNumber,incidentYear,cause,installationYear,material
20100001,2010,MECHANICAL_DAMAGE,2000,MATERIAL OTHER THAN CARBON STEEL
20100002,2010,OTHER,,CARBON STEEL
20100003,2010,EXTERNAL_CORROSION,1955,CARBON STEEL
20100004,2010,MECHANICAL_DAMAGE,,MATERIAL OTHER THAN CARBON STEEL
20100005,2010,INTERNAL_CORROSION,1928,CARBON STEEL
20100006,2010,OTHER,2003,CARBON STEEL
20100007,2010,OTHER,,CARBON STEEL
20100008,2010,OTHER,1977,CARBON STEEL
20100009,2010,MECHANICAL_DAMAGE,2000,CARBON STEEL
20100010,2010,MECHANICAL_DAMAGE,,
20100011,2010,OTHER,,
20100012,2010,MECHANICAL_DAMAGE,2005,CARBON STEEL
20100013,2010,MECHANICAL_DAMAGE,1959,MATERIAL OTHER THAN CARBON STEEL
20100014,2010,INTERNAL_CORROSION,1976,CARBON STEEL
20100015,2010,MECHANICAL_DAMAGE,,CARBON STEEL
20100016,2010,OTHER,2009,CARBON STEEL
20100017,2010,MECHANICAL_DAMAGE,1980,CARBON STEEL
20100018,2010,OTHER,,CARBON STEEL
20100019,2010,MECHANICAL_DAMAGE,,
20100020,2010,MECHANICAL_DAMAGE,2004,CARBON STEEL
20100021,2010,MATERIAL_FAILURE,1956,CARBON STEEL
20100022,2010,MECHANICAL_DAMAGE,,
20100023,2010,MATERIAL_FAILURE,,
20100024,2010,OTHER,,CARBON STEEL
20100025,2010,OTHER,,CARBON STEEL
20100026,2010,OTHER,,MATERIAL OTHER THAN CARBON STEEL
20100027,2010,OTHER,,CARBON STEEL
20100028,2010,MECHANICAL_DAMAGE,2010,CARBON STEEL
20100030,2010,MECHANICAL_DAMAGE,1964,CARBON STEEL
20100031,2010,MECHANICAL_DAMAGE,,
20100032,2010,MECHANICAL_DAMAGE,,
20100034,2010,OTHER,,
20100035,2010,OTHER,1967,CARBON STEEL
20100036,2010,MECHANICAL_DAMAGE,,MATERIAL OTHER THAN CARBON STEEL
20100037,2010,MATERIAL_FAILURE,1977,CARBON STEEL
20100038,2010,MECHANICAL_DAMAGE,,MATERIAL OTHER THAN CARBON STEEL
20100039,2010,MECHANICAL_DAMAGE,,MATERIAL OTHER THAN CARBON STEEL
20100040,2010,MECHANICAL_DAMAGE,,CARBON STEEL
20100041,2010,EXTERNAL_CORROSION,1940,CARBON STEEL
20100042,2010,INTERNAL_CORROSION,1987,CARBON STEEL
20100043,2010,MECHANICAL_DAMAGE,,
20100044,2010,MECHANICAL_DAMAGE,2005,MATERIAL OTHER THAN CARBON STEEL
20100045,2010,OTHER,1968,CARBON STEEL
20100046,2010,INTERNAL_CORROSION,,
20100048,2010,INTERNAL_CORROSION,1982,CARBON STEEL
20100049,2010,MECHANICAL_DAMAGE,,
20100050,2010,MECHANICAL_DAMAGE,,
20100051,2010,MECHANICAL_DAMAGE,1959,CARBON STEEL
20100052,2010,OTHER,,MATERIAL OTHER THAN CARBON STEEL
20100054,2010,MECHANICAL_DAMAGE,,CARBON STEEL
20100055,2010,INTERNAL_CORROSION,,
20100056,2010,MECHANICAL_DAMAGE,,CARBON STEEL
20100057,2010,OTHER,1981,CARBON STEEL
20100058,2010,OTHER,1960,CARBON STEEL
20100059,2010,MECHANICAL_DAMAGE,1952,CARBON STEEL
20100060,2010,MATERIAL_FAILURE,,CARBON STEEL
20100061,2010,OTHER,1999,CARBON STEEL
20100062,2010,MECHANICAL_DAMAGE,,
20100063,2010,INTERNAL_CORROSION,1999,CARBON STEEL
20100064,2010,OTHER,UNKNOWN,CARBON STEEL
20100065,2010,MECHANICAL_DAMAGE,,
20100066,2010,MECHANICAL_DAMAGE,1964,CARBON STEEL
20100067,2010,MATERIAL_FAILURE,1979,CARBON STEEL
20100068,2010,MECHANICAL_DAMAGE,,
20100069,2010,MECHANICAL_DAMAGE,,MATERIAL OTHER THAN CARBON STEEL
20100070,2010,OTHER,UNKNOWN,CARBON STEEL
20100071,2010,MECHANICAL_DAMAGE,,CARBON STEEL
20100072,2010,MECHANICAL_DAMAGE,,
20100073,2010,OTHER,,
20100074,2010,MECHANICAL_DAMAGE,2003,CARBON STEEL
20100075,2010,MATERIAL_FAILURE,,CARBON STEEL
20100076,2010,INTERNAL_CORROSION,,
20100077,2010,MECHANICAL_DAMAGE,2010,CARBON STEEL
20100078,2010,MECHANICAL_DAMAGE,2008,MATERIAL OTHER THAN CARBON STEEL
20100079,2010,OTHER,1977,CARBON STEEL
20100080,2010,INTERNAL_CORROSION,,CARBON STEEL
20100081,2010,MATERIAL_FAILURE,1959,CARBON STEEL
20100082,2010,OTHER,2008,CARBON STEEL
20100083,2010,MECHANICAL_DAMAGE,1969,CARBON STEEL
20100084,2010,OTHER,1995,CARBON STEEL
20100085,2010,MECHANICAL_DAMAGE,1991,CARBON STEEL
20100086,2010,MECHANICAL_DAMAGE,,CARBON STEEL
20100087,2010,MECHANICAL_DAMAGE,,
20100088,2010,EXTERNAL_CORROSION,,
20100089,2010,INTERNAL_CORROSION,,
20100090,2010,MECHANICAL_DAMAGE,,CARBON STEEL
20100091,2010,MECHANICAL_DAMAGE,,
